,Pressure (PSI),	Welding Time (ms),	Angle (Deg),	Force (N),	Current (A),	Thickness A (mm),	Thickness B (mm),	PullTest (N),	NuggetDiameter (mm)
2002,0.41666666666666663,0.6153846153846154,1.0,0.7546123080892788,0.6360623518380403,3.3686777137907414e-05,4.276265774669306e-05,0.40093717301305676,0.8120567375886527
2003,0.41666666666666663,0.6153846153846154,1.0,0.7538382144239454,0.6762214613883325,3.3686777137907414e-05,4.276265774669306e-05,0.40093717301305676,0.8120567375886527
2004,0.41666666666666663,0.6153846153846154,1.0,0.7530211155549822,0.7979888145672935,3.3686777137907414e-05,4.276265774669306e-05,0.40093717301305676,0.8120567375886527
2005,0.41666666666666663,0.6153846153846154,1.0,0.7525480583150561,0.6746143139868804,3.3686777137907414e-05,4.276265774669306e-05,0.40093717301305676,0.8120567375886527
2006,0.41666666666666663,0.6153846153846154,1.0,0.7522900270932784,0.6745144790082276,3.3686777137907414e-05,4.276265774669306e-05,0.40093717301305676,0.8120567375886527
2007,0.41666666666666663,0.6153846153846154,1.0,0.7519459854642412,0.6808217006007716,3.3686777137907414e-05,4.276265774669306e-05,0.40093717301305676,0.8120567375886527
2008,0.41666666666666663,0.6153846153846154,1.0,0.7516019438352041,0.8170553379414026,3.3686777137907414e-05,4.276265774669306e-05,0.40093717301305676,0.8120567375886527
2009,0.41666666666666663,0.6153846153846154,1.0,0.7511718917989076,0.7025857259471109,3.3686777137907414e-05,4.276265774669306e-05,0.40093717301305676,0.8120567375886527
2010,0.41666666666666663,0.6153846153846154,1.0,0.0,0.0,3.689504162723194e-05,3.1676042775328215e-05,0.39536417815386016,0.6843971631205674
2011,0.41666666666666663,0.6153846153846154,1.0,0.7409366533350537,0.3741854150883931,2.245785142527168e-05,4.1178855607926744e-05,0.3707520131022246,0.6312056737588654
2012,0.41666666666666663,0.6153846153846154,1.0,0.7424848406657206,0.7578453654058096,2.245785142527168e-05,4.1178855607926744e-05,0.3707520131022246,0.6312056737588654
2013,0.41666666666666663,0.6153846153846154,1.0,0.7414097105749796,0.6982301803098017,2.245785142527168e-05,4.1178855607926744e-05,0.3707520131022246,0.6312056737588654
